id,name,city,country,iata_code,icao_code,latitude,longitude,altitude,timezone_offset,dst,tz,type,source,language
394,Аэропорт Донауэшинген-Виллинген,Донауэшинген,Германия,ZQL,EDTD,47.97333145139999,8.52222156525,2231,1,E,Europe/Berlin,airport,OurAirports,ru
395,Фрайбург и. Бр. Аэропорт,Фрайбург,Германия,\N,EDTF,48.022777557400005,7.83249998093,801,1,E,Europe/Berlin,airport,OurAirports,ru
396,Аэропорт Менген-Хоэнтенген,Менген,Германия,\N,EDTM,48.053890228271484,9.372777938842773,1818,1,E,Europe/Berlin,airport,OurAirports,ru
397,Аэропорт Адольф Вюрт,Швебиш-Халль,Германия,\N,EDTY,49.1183319092,9.783888816829998,1299,1,E,Europe/Berlin,airport,OurAirports,ru
398,Финстервальде/Аэропорт Шаксдорф,Зост,Германия,\N,EDUS,51.607498,13.743611,384,1,E,Europe/Berlin,airport,OurAirports,ru
399,Аэропорт Брауншвейг-Вольфсбург,Брауншвейг,Германия,BWE,EDVE,52.319199,10.5561,295,1,E,Europe/Berlin,airport,OurAirports,ru
400,Кассель-Калден аэропорт,Кассель,Германия,KSF,EDVK,51.417273,9.384967,820,1,E,Europe/Berlin,airport,OurAirports,ru
401,Хильдесхайм аэропорт,Хильдесхайм,Германия,\N,EDVM,52.18138885498047,9.946389198303223,292,1,E,Europe/Berlin,airport,OurAirports,ru
402,Бремерхафен аэропорт,Бремерхафен,Германия,BRV,EDWB,53.506943,8.572778,10,1,E,Europe/Berlin,airport,OurAirports,ru
403,Эмден аэропорт,Эмден,Германия,EME,EDWE,53.391109,7.2275,3,1,E,Europe/Berlin,airport,OurAirports,ru
404,Леер-Папенбург аэропорт,Леер,Германия,\N,EDWF,53.271942138671875,7.441667079925537,3,1,E,Europe/Berlin,airport,OurAirports,ru
405,Аэропорт Вильгельмсхафен-Мариензель,Вильгельмсхафен,Германия,WVN,EDWI,53.502220153808594,8.05222225189209,16,1,E,Europe/Berlin,airport,OurAirports,ru
406,Боркум аэропорт,Боркум,Германия,BMK,EDWR,53.59639,6.709167,3,1,E,Europe/Berlin,airport,OurAirports,ru
407,Нордерней аэропорт,Нордерней,Германия,NRD,EDWY,53.70694351196289,7.230000019073486,7,1,E,Europe/Berlin,airport,OurAirports,ru
408,Аэропорт Фленсбург-Шеферхаус,Фленсбург,Германия,FLF,EDXF,54.77333450317383,9.378889083862305,131,1,E,Europe/Berlin,airport,OurAirports,ru
409,Аэропорт Рендсбург-Шахтхольм,Рендсбург,Германия,\N,EDXR,54.220001220703125,9.599444389343262,23,1,E,Europe/Berlin,airport,OurAirports,ru
410,Аэропорт Вестерланд Зюльт,Вестерланд,Германия,GWT,EDXW,54.9132003784,8.34047031403,51,1,E,Europe/Berlin,airport,OurAirports,ru
411,Авиабаза Эмари,База ВВС Армари,Эстония,\N,EEEI,59.26029968261719,24.208499908447266,65,2,E,Europe/Tallinn,airport,OurAirports,ru
412,Аэропорт Кярдла,Кардла,Эстония,KDL,EEKA,58.99079895019531,22.830699920654297,18,2,E,Europe/Tallinn,airport,OurAirports,ru
413,Аэропорт Курессааре,Курессааре,Эстония,URE,EEKE,58.22990036010742,22.50950050354004,14,2,E,Europe/Tallinn,airport,OurAirports,ru
414,Пярнуский аэропорт,Пярну,Эстония,EPU,EEPU,58.41899871826172,24.47279930114746,47,2,E,Europe/Tallinn,airport,OurAirports,ru
415,Леннарт Мери Таллиннский аэропорт,Таллинн-Юлемисте Интернэшнл,Эстония,TLL,EETN,59.41329956049999,24.832799911499997,131,2,E,Europe/Tallinn,airport,OurAirports,ru
416,Тартуский аэропорт,Тарту,Эстония,TAY,EETU,58.3074989319,26.690399169900004,219,2,E,Europe/Tallinn,airport,OurAirports,ru
417,Энонтекио аэропорт,Энонтекио,Финляндия,ENF,EFET,68.362602233887,23.424299240112,1005,2,E,Europe/Helsinki,airport,OurAirports,ru
418,Аэропорт Эура,Эура,Финляндия,\N,EFEU,61.1161003112793,22.201400756835938,259,2,E,Europe/Helsinki,airport,OurAirports,ru
419,Халли аэропорт,Халли,Финляндия,KEV,EFHA,61.856039,24.786686,479,2,E,Europe/Helsinki,airport,OurAirports,ru
420,Аэропорт Хельсинки Мальми,Хельсинки,Финляндия,HEM,EFHF,60.254600524902344,25.042800903320312,57,2,E,Europe/Helsinki,airport,OurAirports,ru
421,Хельсинки Вантаа аэропорт,Хельсинки,Финляндия,HEL,EFHK,60.317199707031,24.963300704956,179,2,E,Europe/Helsinki,airport,OurAirports,ru
422,Аэропорт Хамеенкиро,Хамеенкиро,Финляндия,\N,EFHM,61.689701080322266,23.073699951171875,449,2,E,Europe/Helsinki,airport,OurAirports,ru
423,Ханко аэропорт,Ханко,Финляндия,\N,EFHN,59.848899841308594,23.083599090576172,20,2,E,Europe/Helsinki,airport,OurAirports,ru
424,Аэродром Хювинкяя,Хивинкаа,Финляндия,HYV,EFHV,60.6543998718,24.8810997009,430,2,E,Europe/Helsinki,airport,OurAirports,ru
425,Аэропорт Киикала,Кикала,Финляндия,\N,EFIK,60.4625015259,23.6525001526,381,2,E,Europe/Helsinki,airport,OurAirports,ru
426,Аэропорт Иммола,Иммола,Финляндия,\N,EFIM,61.24919891357422,28.90369987487793,338,2,E,Europe/Helsinki,airport,OurAirports,ru
427,Китеи аэропорт,Китее,Финляндия,KTQ,EFIT,62.1661,30.073601,364,2,E,Europe/Helsinki,airport,OurAirports,ru
428,Ивало аэропорт,Ивало,Финляндия,IVL,EFIV,68.607299804688,27.405300140381,481,2,E,Europe/Helsinki,airport,OurAirports,ru
429,Йоэнсуу аэропорт,Йоэнсуу,Финляндия,JOE,EFJO,62.662899017334,29.607500076294,398,2,E,Europe/Helsinki,airport,OurAirports,ru
430,Аэропорт Ювяскюля,Ювяскюля,Финляндия,JYV,EFJY,62.399501800537,25.678300857544,459,2,E,Europe/Helsinki,airport,OurAirports,ru
431,Каухава аэропорт,Каухава,Финляндия,KAU,EFKA,63.127102,23.051399,151,2,E,Europe/Helsinki,airport,OurAirports,ru
432,Кеми-Торнио аэропорт,Кеми,Финляндия,KEM,EFKE,65.778701782227,24.582099914551,61,2,E,Europe/Helsinki,airport,OurAirports,ru
433,Аэропорт Каяани,Каяани,Финляндия,KAJ,EFKI,64.285499572754,27.692399978638,483,2,E,Europe/Helsinki,airport,OurAirports,ru
434,Каухайоки аэропорт,Каухайоки,Финляндия,KHJ,EFKJ,62.4625015259,22.3931007385,407,2,E,Europe/Helsinki,airport,OurAirports,ru
435,Аэропорт Коккола-Пиетарсаари,Круунупый,Финляндия,KOK,EFKK,63.721199035645,23.143100738525,84,2,E,Europe/Helsinki,airport,OurAirports,ru
436,Аэропорт Кемиярви,Кемиярви,Финляндия,\N,EFKM,66.712898,27.156799,692,2,E,Europe/Helsinki,airport,OurAirports,ru
437,Аэропорт Куусамо,Куусамо,Финляндия,KAO,EFKS,65.987602233887,29.239400863647,866,2,E,Europe/Helsinki,airport,OurAirports,ru
438,Аэропорт Киттиля,Киттила,Финляндия,KTT,EFKT,67.700996398926,24.846799850464,644,2,E,Europe/Helsinki,airport,OurAirports,ru
439,Аэропорт Куопио,Куопио,Финляндия,KUO,EFKU,63.007099151611,27.797800064087,323,2,E,Europe/Helsinki,airport,OurAirports,ru
440,Аэропорт Лахти Весивехмаа,Весивехмаа,Финляндия,QLF,EFLA,61.144199,25.693501,502,2,E,Europe/Helsinki,airport,OurAirports,ru
441,Аэропорт Лаппеенранта,Лаппеенранта,Финляндия,LPP,EFLP,61.044601,28.144743,349,2,E,Europe/Helsinki,airport,OurAirports,ru
442,Аэропорт Мариехамн,Мариехамн,Финляндия,MHQ,EFMA,60.122200012207,19.898199081421,17,2,E,Europe/Mariehamn,airport,OurAirports,ru
443,Аэропорт Менкиярви,Менкиярви,Финляндия,\N,EFME,62.94670104980469,23.51889991760254,331,2,E,Europe/Helsinki,airport,OurAirports,ru
444,Аэропорт Миккели,Миккели,Финляндия,MIK,EFMI,61.6866,27.201799,329,2,E,Europe/Helsinki,airport,OurAirports,ru
445,Нуммела аэропорт,Нуммела,Финляндия,\N,EFNU,60.333900451699996,24.2964000702,367,2,E,Europe/Helsinki,airport,OurAirports,ru
446,Аэропорт Оулу,Оулу,Финляндия,OUL,EFOU,64.930099487305,25.354600906372,47,2,E,Europe/Helsinki,airport,OurAirports,ru
447,Аэропорт Пикаярви,Пиикаярви,Финляндия,\N,EFPI,61.245601654052734,22.19339942932129,148,2,E,Europe/Helsinki,airport,OurAirports,ru
448,Аэропорт Пори,Пори,Финляндия,POR,EFPO,61.461700439453,21.799999237061,44,2,E,Europe/Helsinki,airport,OurAirports,ru
449,Аэропорт Пудасъярви,Пудасярви,Финляндия,\N,EFPU,65.4021987915,26.946899414100002,397,2,E,Europe/Helsinki,airport,OurAirports,ru
450,Аэропорт Пюхясалми,Пюхасалми,Финляндия,\N,EFPY,63.7318992615,25.926300048799998,528,2,E,Europe/Helsinki,airport,OurAirports,ru
451,Раахе Паттийоки аэропорт,Паттийоки,Финляндия,\N,EFRH,64.6881027222,24.6958007812,118,2,E,Europe/Helsinki,airport,OurAirports,ru
452,Аэропорт Рантасалми,Рантасалми,Финляндия,\N,EFRN,62.0654983521,28.3565006256,292,2,E,Europe/Helsinki,airport,OurAirports,ru
453,Аэропорт Рованиеми,Рованиеми,Финляндия,RVN,EFRO,66.564796447754,25.830400466919,642,2,E,Europe/Helsinki,airport,OurAirports,ru
454,Аэропорт Райскала,Райскала,Финляндия,\N,EFRY,60.74470138549805,24.107799530029297,407,2,E,Europe/Helsinki,airport,OurAirports,ru
455,Аэропорт Савонлинна,Савонлинна,Финляндия,SVL,EFSA,61.943099975586,28.945100784302,311,2,E,Europe/Helsinki,airport,OurAirports,ru
456,Селанпаа аэропорт,Селанпаа,Финляндия,\N,EFSE,61.062400817871094,26.798900604248047,417,2,E,Europe/Helsinki,airport,OurAirports,ru
457,Аэропорт Соданкюля,Соданкюла,Финляндия,SOT,EFSO,67.3949966431,26.6191005707,602,2,E,Europe/Helsinki,airport,OurAirports,ru
458,Аэропорт Тампере-Пирккала,Тампере,Финляндия,TMP,EFTP,61.414100646973,23.604400634766,390,2,E,Europe/Helsinki,airport,OurAirports,ru
459,Аэропорт Тейско,Тейско,Финляндия,\N,EFTS,61.7733,24.027,515,2,E,Europe/Helsinki,airport,OurAirports,ru
460,Аэропорт Турку,Турку,Финляндия,TKU,EFTU,60.514099121094,22.262800216675,161,2,E,Europe/Helsinki,airport,OurAirports,ru
461,Авиабаза Утти,Утти,Финляндия,UTI,EFUT,60.89640045166,26.938400268555,339,2,E,Europe/Helsinki,airport,OurAirports,ru
462,Аэропорт Вааса,Вааса,Финляндия,VAA,EFVA,63.050701141357,21.762199401855,19,2,E,Europe/Helsinki,airport,OurAirports,ru
463,Аэропорт Варкаус,Варкаус,Финляндия,VRK,EFVR,62.171100616455,27.868600845337,286,2,E,Europe/Helsinki,airport,OurAirports,ru
464,Юливиеска Аэродром,Юливиеска-Раудаскюля,Финляндия,YLI,EFYL,64.0547222,24.7252778,252,2,E,Europe/Helsinki,airport,OurAirports,ru
465,Международный аэропорт Белфаста,Белфаст,Великобритания,BFS,EGAA,54.6575012207,-6.2158298492399995,268,0,E,Europe/London,airport,OurAirports,ru
466,Аэропорт Сент-Анджело,Эннискиллен,Великобритания,ENK,EGAB,54.39889907836914,-7.651669979095459,155,0,E,Europe/London,airport,OurAirports,ru
467,Джордж Бест Аэропорт Белфаст Сити,Белфаст,Великобритания,BHD,EGAC,54.618099212646484,-5.872499942779541,15,0,E,Europe/London,airport,OurAirports,ru
468,Аэропорт города Дерри,Лондондерри,Великобритания,LDY,EGAE,55.04280090332031,-7.161109924316406,22,0,E,Europe/London,airport,OurAirports,ru
469,Международный аэропорт Бирмингема,Бирмингем,Великобритания,BHX,EGBB,52.453899383499994,-1.74802994728,327,0,E,Europe/London,airport,OurAirports,ru
470,Ковентри аэропорт,Ковентри,Великобритания,CVT,EGBE,52.3697013855,-1.4797199964499999,267,0,E,Europe/London,airport,OurAirports,ru
471,Лестер аэропорт,Лестер,Великобритания,\N,EGBG,52.6077995300293,-1.03193998336792,469,0,E,Europe/London,airport,OurAirports,ru
472,Аэропорт Глостершир,Голучестершир,Великобритания,GLO,EGBJ,51.89419937133789,-2.167220115661621,101,0,E,Europe/London,airport,OurAirports,ru
474,Аэропорт Вулверхэмптон Халфпенни Грин,Полпенни Грин,Великобритания,\N,EGBO,52.51750183105469,-2.2594399452209473,283,0,E,Europe/London,airport,OurAirports,ru
475,Котсуолд аэропорт,Пэйлтон,Великобритания,GBA,EGBP,51.668095,-2.05694,433,0,E,Europe/London,airport,OurAirports,ru
476,Аэропорт Тервестон,Тервестон,Великобритания,\N,EGBT,52.0407981873,-1.09555995464,448,0,E,Europe/London,airport,OurAirports,ru
477,Аэропорт Уэллсборн Маунтфорд,Уэллсборн,Великобритания,\N,EGBW,52.19219970703125,-1.6144399642944336,159,0,E,Europe/London,airport,OurAirports,ru
478,Манчестер аэропорт,Манчестер,Великобритания,MAN,EGCC,53.35369873046875,-2.2749500274658203,257,0,E,Europe/London,airport,OurAirports,ru
479,Аэропорт Манчестер Вудфорд,Вудфорт,Великобритания,\N,EGCD,53.3381,-2.14889,295,0,E,Europe/London,airport,OurAirports,ru
480,"База Королевской морской пехоты, аэропорт Чивенор",Чивенор,Великобритания,\N,EGDC,51.08720016479492,-4.1503400802612305,27,0,E,Europe/London,airport,OurAirports,ru
481,Ньюки Корнуолл аэропорт,Ньюквей,Великобритания,NQY,EGHQ,50.44060134887695,-4.995409965515137,390,0,E,Europe/London,airport,OurAirports,ru
482,РАФ Линем,Лайнэм,Великобритания,LYE,EGDL,51.5051,-1.99343,513,0,E,Europe/London,airport,OurAirports,ru
483,Министерство обороны Аэропорт Боскомб Даун,Боскомб Даун,Великобритания,\N,EGDM,51.152198791503906,-1.7474100589752197,407,0,E,Europe/London,airport,OurAirports,ru
484,РНКС Калдроуз,Калдроуз,Великобритания,\N,EGDR,50.08610153198242,-5.255710124969482,267,0,E,Europe/London,airport,OurAirports,ru
485,МО Сент-Атан,Святой Атан,Великобритания,\N,EGDX,51.4048,-3.43575,163,0,E,Europe/London,airport,OurAirports,ru
486,RNAS Йовилтон,Йовилтон,Великобритания,YEO,EGDY,51.0093994140625,-2.638819932937622,75,0,E,Europe/London,airport,OurAirports,ru
487,Аэропорт Хаверфордвест,Хаверфордвест,Великобритания,HAW,EGFE,51.833099365234375,-4.9611101150512695,159,0,E,Europe/London,airport,OurAirports,ru
488,Международный аэропорт Кардиффа,Кардифф,Великобритания,CWL,EGFF,51.39670181274414,-3.343329906463623,220,0,E,Europe/London,airport,OurAirports,ru
489,Суонси аэропорт,Суонси,Великобритания,SWS,EGFH,51.60530090332031,-4.0678300857543945,299,0,E,Europe/London,airport,OurAirports,ru
490,Бристоль аэропорт,Бристоль,Великобритания,BRS,EGGD,51.382702,-2.71909,622,0,E,Europe/London,airport,OurAirports,ru
491,Ливерпульский аэропорт имени Джона Леннона,Ливерпуль,Великобритания,LPL,EGGP,53.33359909057617,-2.849720001220703,80,0,E,Europe/London,airport,OurAirports,ru
492,Лондонский аэропорт Лутон,Лондон,Великобритания,LTN,EGGW,51.874698638916016,-0.36833301186561584,526,0,E,Europe/London,airport,OurAirports,ru
493,Плимут Сити аэропорт,Плимут,Великобритания,PLH,EGHD,50.422798,-4.10583,476,0,E,Europe/London,airport,OurAirports,ru
494,Аэропорт Борнмута,Борнмут,Великобритания,BOH,EGHH,50.779998779296875,-1.8424999713897705,38,0,E,Europe/London,airport,OurAirports,ru
495,Аэропорт Саутгемптона,Саутгемптон,Великобритания,SOU,EGHI,50.95029830932617,-1.3567999601364136,44,0,E,Europe/London,airport,OurAirports,ru
496,Аэропорт Лэшам,Лэшэм,Великобритания,QLA,EGHL,51.187198638916016,-1.0334999561309814,618,0,E,Europe/London,airport,OurAirports,ru
497,Олдерни аэропорт,Олдерни,Гернси,ACI,EGJA,49.706104,-2.21472,290,0,E,Europe/Guernsey,airport,OurAirports,ru
498,Гернси аэропорт,Гернси,Гернси,GCI,EGJB,49.435001373291016,-2.6019699573516846,336,0,E,Europe/Guernsey,airport,OurAirports,ru
499,Аэропорт Джерси,Джерси,Джерси,JER,EGJJ,49.20790100097656,-2.195509910583496,277,0,E,Europe/Jersey,airport,OurAirports,ru
500,Аэропорт Шорхэм,Шорхэм у моря,Великобритания,ESH,EGKA,50.835602,-0.297222,7,0,E,Europe/London,airport,OurAirports,ru
501,Лондонский аэропорт Биггин Хилл,Биггин Хилл,Великобритания,BQH,EGKB,51.33079910279999,0.0324999988079,598,0,E,Europe/London,airport,OurAirports,ru
502,Лондонский аэропорт Гатвик,Лондон,Великобритания,LGW,EGKK,51.148102,-0.190278,202,0,E,Europe/London,airport,OurAirports,ru
503,Аэропорт Лондон-Сити,Лондон,Великобритания,LCY,EGLC,51.505299,0.055278,19,0,E,Europe/London,airport,OurAirports,ru
504,Аэропорт Фарнборо,Фарнборо,Великобритания,FAB,EGLF,51.2757987976,-0.776332974434,238,0,E,Europe/London,airport,OurAirports,ru
505,Аэропорт Чалгроув,Чалсгроув,Великобритания,\N,EGLJ,51.67610168457031,-1.0808299779891968,240,0,E,Europe/London,airport,OurAirports,ru
506,Блэкбуш аэропорт,Блэкбуш,Великобритания,BBS,EGLK,51.32389831542969,-0.8475000262260437,325,0,E,Europe/London,airport,OurAirports,ru
507,Лондонский аэропорт Хитроу,Лондон,Великобритания,LHR,EGLL,51.4706,-0.461941,83,0,E,Europe/London,airport,OurAirports,ru
508,Саутенд аэропорт,Саутенд,Великобритания,SEN,EGMC,51.5713996887207,0.6955559849739075,49,0,E,Europe/London,airport,OurAirports,ru
509,Лидд аэропорт,Лидд,Великобритания,LYX,EGMD,50.95610046386719,0.9391670227050781,13,0,E,Europe/London,airport,OurAirports,ru
510,Международный аэропорт Кента,Мэнстон,Великобритания,MSE,EGMH,51.342201,1.34611,178,0,E,Europe/London,airport,OurAirports,ru
511,Аэропорт Бро,Бро,Великобритания,\N,EGNB,53.7197,-0.566333,12,0,E,Europe/London,airport,OurAirports,ru
512,Карлайл аэропорт,Карлайл,Великобритания,CAX,EGNC,54.9375,-2.8091700077056885,190,0,E,Europe/London,airport,OurAirports,ru
513,Аэропорт Ретфорд Гэмстон,Рептон,Великобритания,\N,EGNE,53.280601501464844,-0.9513890147209167,91,0,E,Europe/London,airport,OurAirports,ru
514,Международный аэропорт Блэкпула,Блэкпул,Великобритания,BLK,EGNH,53.77170181274414,-3.0286099910736084,34,0,E,Europe/London,airport,OurAirports,ru
515,Хамберсайд аэропорт,Хамберсайд,Великобритания,HUY,EGNJ,53.57440185546875,-0.350832998752594,121,0,E,Europe/London,airport,OurAirports,ru
516,Аэропорт Барроу-Уолни-Айленд,Остров Барроу,Великобритания,BWF,EGNL,54.1286111,-3.2675,173,0,E,Europe/London,airport,OurAirports,ru
517,Лидс Брэдфорд аэропорт,Лидс,Великобритания,LBA,EGNM,53.86589813232422,-1.6605700254440308,681,0,E,Europe/London,airport,OurAirports,ru
518,Аэропорт Уортон,Уортон,Великобритания,WRT,EGNO,53.745098,-2.88306,55,0,E,Europe/London,airport,OurAirports,ru
519,Аэропорт Хаварден,Гаварден,Великобритания,CEG,EGNR,53.1781005859375,-2.9777801036834717,45,0,E,Europe/London,airport,OurAirports,ru
520,Аэропорт острова Мэн,Остров Мэн,Остров Мэн,IOM,EGNS,54.08330154418945,-4.623889923095703,52,0,E,Europe/Isle_of_Man,airport,OurAirports,ru
521,Ньюкасл аэропорт,Ньюкасл,Великобритания,NCL,EGNT,55.037498474121094,-1.6916699409484863,266,0,E,Europe/London,airport,OurAirports,ru
522,Аэропорт Дарем Тис Вэлли,Тиссайд,Великобритания,MME,EGNV,54.50920104980469,-1.4294099807739258,120,0,E,Europe/London,airport,OurAirports,ru
523,Аэропорт Ист-Мидлендс,Ист-Мидлендс,Великобритания,EMA,EGNX,52.8311004639,-1.32806003094,306,0,E,Europe/London,airport,OurAirports,ru
524,Лланбедр аэропорт,Лланбедр,Великобритания,\N,EGOD,52.811698913574,-4.1235799789429,30,0,E,Europe/London,airport,OurAirports,ru
525,РАФ Тернхилл,Тернхилл,Великобритания,\N,EGOE,52.87120056152344,-2.533560037612915,272,0,E,Europe/London,airport,OurAirports,ru
526,Королевские ВВС Шобери,Шобери,Великобритания,\N,EGOS,52.79819869995117,-2.6680400371551514,249,0,E,Europe/London,airport,OurAirports,ru
528,РАФ Вудвейл,Вудвейл,Великобритания,\N,EGOW,53.5816,-3.05552,37,0,E,Europe/London,airport,OurAirports,ru
529,Киркуолл аэропорт,Киркуолл,Великобритания,KOI,EGPA,58.957801818847656,-2.9049999713897705,50,0,E,Europe/London,airport,OurAirports,ru
530,Самбург аэропорт,Самбург,Великобритания,LSI,EGPB,59.87889862060547,-1.2955600023269653,20,0,E,Europe/London,airport,OurAirports,ru
531,Уик аэропорт,Фитиль,Великобритания,WIC,EGPC,58.458900451660156,-3.09306001663208,126,0,E,Europe/London,airport,OurAirports,ru
532,Абердин Дайс аэропорт,Абердин,Великобритания,ABZ,EGPD,57.201900482177734,-2.197779893875122,215,0,E,Europe/London,airport,OurAirports,ru
533,Инвернесс аэропорт,Инвернесс,Великобритания,INV,EGPE,57.54249954223633,-4.047500133514404,31,0,E,Europe/London,airport,OurAirports,ru
534,Международный аэропорт Глазго,Глазго,Великобритания,GLA,EGPF,55.8718986511,-4.43306016922,26,0,E,Europe/London,airport,OurAirports,ru
535,Эдинбургский аэропорт,Эдинбург,Великобритания,EDI,EGPH,55.95000076293945,-3.372499942779541,135,0,E,Europe/London,airport,OurAirports,ru
536,Айлей аэропорт,Айлей,Великобритания,ILY,EGPI,55.68190002441406,-6.256669998168945,56,0,E,Europe/London,airport,OurAirports,ru
537,Глазго Прествик аэропорт,Прествик,Великобритания,PIK,EGPK,55.5093994140625,-4.586669921875,65,0,E,Europe/London,airport,OurAirports,ru
538,Бенбекула аэропорт,Бенбекула,Великобритания,BEB,EGPL,57.48109817504883,-7.3627800941467285,19,0,E,Europe/London,airport,OurAirports,ru
539,Скатста аэропорт,Скатста,Великобритания,SCS,EGPM,60.43280029296875,-1.2961100339889526,81,0,E,Europe/London,airport,OurAirports,ru
540,Данди аэропорт,Данди,Великобритания,DND,EGPN,56.45249938964844,-3.025830030441284,17,0,E,Europe/London,airport,OurAirports,ru
541,Сторновей аэропорт,Сторновей,Великобритания,SYY,EGPO,58.215599060058594,-6.331110000610352,26,0,E,Europe/London,airport,OurAirports,ru
542,Аэропорт Тири,Тайри,Великобритания,TRE,EGPU,56.49919891357422,-6.869170188903809,38,0,E,Europe/London,airport,OurAirports,ru
543,РАФ Лейхарс,Лейчары,Великобритания,ADX,EGQL,56.37289810180664,-2.8684399127960205,38,0,E,Europe/London,airport,OurAirports,ru
544,Королевские ВВС Лоссимут,Лоссимут,Великобритания,LMO,EGQS,57.7052001953125,-3.339169979095459,42,0,E,Europe/London,airport,OurAirports,ru
545,Кембриджский аэропорт,Кембридж,Великобритания,CBG,EGSC,52.205002,0.175,47,0,E,Europe/London,airport,OurAirports,ru
546,Бизнес-аэропорт Питерборо,Питерборо,Великобритания,\N,EGSF,52.468101501464844,-0.2511110007762909,26,0,E,Europe/London,airport,OurAirports,ru
547,Международный аэропорт Нориджа,Норвич,Великобритания,NWI,EGSH,52.6758003235,1.28278005123,117,0,E,Europe/London,airport,OurAirports,ru
548,Лондонский аэропорт Станстед,Лондон,Великобритания,STN,EGSS,51.8849983215,0.234999999404,348,0,E,Europe/London,airport,OurAirports,ru
549,Аэропорт Норт-Уилд,Норт-Уилд,Великобритания,\N,EGSX,51.721698761,0.154166996479,321,0,E,Europe/London,airport,OurAirports,ru
550,Вертодром Шеффилд-Сити,Фаулмир,Великобритания,\N,EGSY,53.394299,-1.38849,231,0,E,Europe/London,airport,OurAirports,ru
551,Аэропорт Крэнфилд,Крэнфилд,Великобритания,\N,EGTC,52.0722007751,-0.616666972637,358,0,E,Europe/London,airport,OurAirports,ru
552,Международный аэропорт Эксетер,Эксетер,Великобритания,EXT,EGTE,50.73440170288086,-3.4138898849487305,102,0,E,Europe/London,airport,OurAirports,ru
553,Бристоль Филтон аэропорт,Бристоль,Великобритания,FZO,EGTG,51.5194015503,-2.59083008766,226,0,E,Europe/London,airport,OurAirports,ru
554,Оксфорд (Кидлингтон) аэропорт,Оксфорд,Великобритания,OXF,EGTK,51.8368988037,-1.32000005245,270,0,E,Europe/London,airport,OurAirports,ru
555,РАФ Бенсон,Бенсон,Великобритания,BEX,EGUB,51.616401672399995,-1.09582996368,226,0,E,Europe/London,airport,OurAirports,ru
556,РАФ Лейкенхит,Лейкенхит,Великобритания,LKZ,EGUL,52.409301757799994,0.56099998951,32,0,E,Europe/London,airport,OurAirports,ru
557,РАФ Милденхолл,Милденхолл,Великобритания,MHZ,EGUN,52.361900329589844,0.48640599846839905,33,0,E,Europe/London,airport,OurAirports,ru
558,РАФ Уоттишем,Уоттишем,Великобритания,\N,EGUW,52.1273002625,0.956264019012,284,0,E,Europe/London,airport,OurAirports,ru
559,РАФ Уитон,Уайтон,Великобритания,QUY,EGUY,52.3572006226,-0.107832998037,135,0,E,Europe/London,airport,OurAirports,ru
560,РАФ Фэрфорд,Фэрфорд,Великобритания,FFD,EGVA,51.6822013855,-1.7900300025900002,286,0,E,Europe/London,airport,OurAirports,ru
561,Королевские ВВС Брайз Нортон,Брайз Нортон,Великобритания,BZZ,EGVN,51.75,-1.58362,288,0,E,Europe/London,airport,OurAirports,ru
562,РАФ Одихам,Одихам,Великобритания,ODH,EGVO,51.2341003418,-0.94282501936,405,0,E,Europe/London,airport,OurAirports,ru
563,DCAE Авиабаза Косфорд,Косфорд,Великобритания,\N,EGWC,52.639999,-2.30558,272,0,E,Europe/London,airport,OurAirports,ru
564,Королевские ВВС Нортхолт,Нортхолт,Великобритания,NHT,EGWU,51.553001403799996,-0.418166995049,124,0,E,Europe/London,airport,OurAirports,ru
565,РАФ Конингсби,Конингсби,Великобритания,QCY,EGXC,53.0929985046,-0.166014000773,25,0,E,Europe/London,airport,OurAirports,ru
566,РАФ Дишфорт,Дишфорт,Великобритания,\N,EGXD,54.1371994019,-1.42025005817,117,0,E,Europe/London,airport,OurAirports,ru
567,Лиминг аэропорт,Лиминг,Великобритания,\N,EGXE,54.2924,-1.5354,132,0,E,Europe/London,airport,OurAirports,ru
568,Лидс Восточный аэропорт,Черч Фентон,Великобритания,\N,EGXG,53.834301,-1.1955,29,0,E,Europe/London,airport,OurAirports,ru
569,РАФ Хонингтон,Хонингтон,Великобритания,BEQ,EGXH,52.34260177612305,0.7729390263557434,174,0,E,Europe/London,airport,OurAirports,ru
570,РАФ Коттесмор,Коттсмор,Великобритания,\N,EGXJ,52.735699,-0.648769,461,0,E,Europe/London,airport,OurAirports,ru
571,РАФ Скэмптон,Скэмптон,Великобритания,SQZ,EGXP,53.307800293,-0.550832986832,202,0,E,Europe/London,airport,OurAirports,ru
572,РАФ Виттеринг,Виттеринг,Великобритания,\N,EGXT,52.612598,-0.476453,273,0,E,Europe/London,airport,OurAirports,ru
573,Королевские ВВС Линтон-он-Уз,Линтон-он-хаус,Великобритания,HRT,EGXU,54.0489006042,-1.2527500391,53,0,E,Europe/London,airport,OurAirports,ru
574,РАФ Уоддингтон,Уоддингтон,Великобритания,WTN,EGXW,53.1661987305,-0.523810982704,231,0,E,Europe/London,airport,OurAirports,ru
575,РАФ Топклифф,Топклифф,Великобритания,\N,EGXZ,54.205501556399994,-1.3820899725,92,0,E,Europe/London,airport,OurAirports,ru
